Rank	Word		Frequency	Freq x Rank
01	TO		4116		4116
02	THE		4105		8210
03	OF		3572		10716
04	AND		3491		13964
05	HER		2551		12755
06	IN		1979		11874
07	WAS		1861		13027
08	IT		1757		14056
09	SHE		1613		14517
10	THAT		1385		13850
11	BE		1305		14355
12	FOR		1262		15144
13	NOT		1248		16224
14	AS		1221		17094
15	YOU		1191		17865
16	HE		1108		17728
17	HIS		1021		17357
18	HAD		998		17964
19	WITH		992		18848
20	BUT		886		17720
21	AT		839		17619
22	HAVE		819		18018
23	IS		760		17480
24	BY		750		18000
25	ON		696		17400
26	ELINOR		685		17810
27	ALL		656		17712
28	SO		644		18032
29	HIM		642		18618
30	MY		628		18840
